"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 14:13:11 GMT 2023","Wed Apr 12 14:13:14 GMT 2023","2471","test","test_conduit","TestConduit","","","test_write_data",""
"passed","Wed Apr 12 14:12:40 GMT 2023","Wed Apr 12 14:12:48 GMT 2023","8673","test","test_conduit","TestConduit","","","test_read_data",""
"passed","Wed Apr 12 14:12:23 GMT 2023","Wed Apr 12 14:12:25 GMT 2023","2082","test","test_conduit","TestConduit","","","test_data_cookies",""
"passed","Wed Apr 12 14:12:30 GMT 2023","Wed Apr 12 14:12:32 GMT 2023","2398","test","test_conduit","TestConduit","","","test_all_pages",""
"passed","Wed Apr 12 14:12:26 GMT 2023","Wed Apr 12 14:12:29 GMT 2023","2413","test","test_conduit","TestConduit","","","test_list_data",""
"passed","Wed Apr 12 14:12:10 GMT 2023","Wed Apr 12 14:12:16 GMT 2023","5781","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Apr 12 14:13:00 GMT 2023","Wed Apr 12 14:13:10 GMT 2023","10021","test","test_conduit","TestConduit","","","test_delete_data",""
"passed","Wed Apr 12 14:12:50 GMT 2023","Wed Apr 12 14:12:59 GMT 2023","9051","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Wed Apr 12 14:13:15 GMT 2023","Wed Apr 12 14:13:18 GMT 2023","3295","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Apr 12 14:12:17 GMT 2023","Wed Apr 12 14:12:22 GMT 2023","4324","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Apr 12 14:12:34 GMT 2023","Wed Apr 12 14:12:39 GMT 2023","5037","test","test_conduit","TestConduit","","","test_new_data",""
