"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 15:26:49 GMT 2023","Wed Apr 12 15:26:53 GMT 2023","4242","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Apr 12 15:27:42 GMT 2023","Wed Apr 12 15:27:44 GMT 2023","2438","test","test_conduit","TestConduit","","","test_write_data",""
"passed","Wed Apr 12 15:26:57 GMT 2023","Wed Apr 12 15:27:00 GMT 2023","2358","test","test_conduit","TestConduit","","","test_list_data",""
"passed","Wed Apr 12 15:27:31 GMT 2023","Wed Apr 12 15:27:41 GMT 2023","9474","test","test_conduit","TestConduit","","","test_delete_data",""
"passed","Wed Apr 12 15:27:01 GMT 2023","Wed Apr 12 15:27:03 GMT 2023","2335","test","test_conduit","TestConduit","","","test_all_pages",""
"passed","Wed Apr 12 15:27:21 GMT 2023","Wed Apr 12 15:27:30 GMT 2023","8763","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Wed Apr 12 15:27:05 GMT 2023","Wed Apr 12 15:27:09 GMT 2023","4919","test","test_conduit","TestConduit","","","test_new_data",""
"passed","Wed Apr 12 15:26:54 GMT 2023","Wed Apr 12 15:26:56 GMT 2023","2069","test","test_conduit","TestConduit","","","test_data_cookies",""
"passed","Wed Apr 12 15:27:11 GMT 2023","Wed Apr 12 15:27:20 GMT 2023","9586","test","test_conduit","TestConduit","","","test_read_data",""
"passed","Wed Apr 12 15:26:42 GMT 2023","Wed Apr 12 15:26:48 GMT 2023","5387","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Apr 12 15:27:46 GMT 2023","Wed Apr 12 15:27:49 GMT 2023","3289","test","test_conduit","TestConduit","","","test_logout",""
