"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 10:55:33 GMT 2023","Mon Apr 10 10:55:35 GMT 2023","2374","test","test_conduit","TestConduit","","","test_write_data",""
"failed","Mon Apr 10 10:55:22 GMT 2023","Mon Apr 10 10:55:32 GMT 2023","9975","test","test_conduit","TestConduit","","","test_delete_data",""
"passed","Mon Apr 10 10:54:48 GMT 2023","Mon Apr 10 10:54:50 GMT 2023","2364","test","test_conduit","TestConduit","","","test_list_data",""
"passed","Mon Apr 10 10:54:31 GMT 2023","Mon Apr 10 10:54:37 GMT 2023","5393","test","test_conduit","TestConduit","","","test_registration",""
"passed","Mon Apr 10 10:54:45 GMT 2023","Mon Apr 10 10:54:47 GMT 2023","2067","test","test_conduit","TestConduit","","","test_data_cookies",""
"passed","Mon Apr 10 10:55:37 GMT 2023","Mon Apr 10 10:55:40 GMT 2023","3275","test","test_conduit","TestConduit","","","test_logout",""
"broken","Mon Apr 10 10:54:38 GMT 2023","Mon Apr 10 10:54:43 GMT 2023","5215","test","test_conduit","TestConduit","","","test_login",""
"passed","Mon Apr 10 10:54:55 GMT 2023","Mon Apr 10 10:55:00 GMT 2023","5154","test","test_conduit","TestConduit","","","test_new_data",""
"passed","Mon Apr 10 10:55:02 GMT 2023","Mon Apr 10 10:55:11 GMT 2023","9428","test","test_conduit","TestConduit","","","test_read_data",""
"passed","Mon Apr 10 10:54:51 GMT 2023","Mon Apr 10 10:54:54 GMT 2023","2291","test","test_conduit","TestConduit","","","test_all_pages",""
"passed","Mon Apr 10 10:55:12 GMT 2023","Mon Apr 10 10:55:21 GMT 2023","8440","test","test_conduit","TestConduit","","","test_modify_data",""
