"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 11:51:34 GMT 2023","Wed Apr 12 11:51:37 GMT 2023","2618","test","test_conduit","TestConduit","","","test_write_data",""
"passed","Wed Apr 12 11:50:49 GMT 2023","Wed Apr 12 11:50:51 GMT 2023","2457","test","test_conduit","TestConduit","","","test_all_pages",""
"passed","Wed Apr 12 11:51:38 GMT 2023","Wed Apr 12 11:51:41 GMT 2023","3415","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Apr 12 11:50:45 GMT 2023","Wed Apr 12 11:50:47 GMT 2023","2501","test","test_conduit","TestConduit","","","test_list_data",""
"passed","Wed Apr 12 11:50:36 GMT 2023","Wed Apr 12 11:50:40 GMT 2023","4348","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Apr 12 11:50:29 GMT 2023","Wed Apr 12 11:50:34 GMT 2023","5558","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Apr 12 11:51:00 GMT 2023","Wed Apr 12 11:51:09 GMT 2023","9422","test","test_conduit","TestConduit","","","test_read_data",""
"passed","Wed Apr 12 11:51:23 GMT 2023","Wed Apr 12 11:51:33 GMT 2023","9941","test","test_conduit","TestConduit","","","test_delete_data",""
"passed","Wed Apr 12 11:51:10 GMT 2023","Wed Apr 12 11:51:21 GMT 2023","10989","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Wed Apr 12 11:50:41 GMT 2023","Wed Apr 12 11:50:44 GMT 2023","2092","test","test_conduit","TestConduit","","","test_data_cookies",""
"passed","Wed Apr 12 11:50:53 GMT 2023","Wed Apr 12 11:50:58 GMT 2023","5540","test","test_conduit","TestConduit","","","test_new_data",""
