"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 12:54:15 GMT 2023","Tue Apr 11 12:54:20 GMT 2023","5430","test","test_conduit","TestConduit","","","test_registration",""
"passed","Tue Apr 11 12:55:18 GMT 2023","Tue Apr 11 12:55:20 GMT 2023","2431","test","test_conduit","TestConduit","","","test_write_data",""
"passed","Tue Apr 11 12:54:43 GMT 2023","Tue Apr 11 12:54:48 GMT 2023","5256","test","test_conduit","TestConduit","","","test_new_data",""
"passed","Tue Apr 11 12:55:05 GMT 2023","Tue Apr 11 12:55:15 GMT 2023","10799","test","test_conduit","TestConduit","","","test_delete_data",""
"passed","Tue Apr 11 12:54:33 GMT 2023","Tue Apr 11 12:54:36 GMT 2023","2398","test","test_conduit","TestConduit","","","test_list_data",""
"broken","Tue Apr 11 12:54:57 GMT 2023","Tue Apr 11 12:55:02 GMT 2023","5717","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Tue Apr 11 12:54:22 GMT 2023","Tue Apr 11 12:54:27 GMT 2023","4277","test","test_conduit","TestConduit","","","test_login",""
"broken","Tue Apr 11 12:54:50 GMT 2023","Tue Apr 11 12:54:54 GMT 2023","4112","test","test_conduit","TestConduit","","","test_read_data",""
"passed","Tue Apr 11 12:54:29 GMT 2023","Tue Apr 11 12:54:31 GMT 2023","2077","test","test_conduit","TestConduit","","","test_data_cookies",""
"passed","Tue Apr 11 12:54:38 GMT 2023","Tue Apr 11 12:54:40 GMT 2023","2319","test","test_conduit","TestConduit","","","test_all_pages",""
"passed","Tue Apr 11 12:55:22 GMT 2023","Tue Apr 11 12:55:26 GMT 2023","3309","test","test_conduit","TestConduit","","","test_logout",""
