"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 21 11:31:59 GMT 2023","Fri Apr 21 11:32:02 GMT 2023","2548","test","test_conduit","TestConduit","","","test_write_data",""
"passed","Fri Apr 21 11:31:15 GMT 2023","Fri Apr 21 11:31:18 GMT 2023","2424","test","test_conduit","TestConduit","","","test_all_pages",""
"passed","Fri Apr 21 11:31:25 GMT 2023","Fri Apr 21 11:31:36 GMT 2023","10512","test","test_conduit","TestConduit","","","test_read_data",""
"passed","Fri Apr 21 11:32:03 GMT 2023","Fri Apr 21 11:32:06 GMT 2023","3367","test","test_conduit","TestConduit","","","test_logout",""
"passed","Fri Apr 21 11:31:37 GMT 2023","Fri Apr 21 11:31:47 GMT 2023","10253","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Fri Apr 21 11:31:12 GMT 2023","Fri Apr 21 11:31:14 GMT 2023","2454","test","test_conduit","TestConduit","","","test_list_data",""
"passed","Fri Apr 21 11:31:04 GMT 2023","Fri Apr 21 11:31:08 GMT 2023","4325","test","test_conduit","TestConduit","","","test_login",""
"passed","Fri Apr 21 11:31:09 GMT 2023","Fri Apr 21 11:31:10 GMT 2023","1083","test","test_conduit","TestConduit","","","test_data_cookies",""
"passed","Fri Apr 21 11:30:57 GMT 2023","Fri Apr 21 11:31:03 GMT 2023","5874","test","test_conduit","TestConduit","","","test_registration",""
"passed","Fri Apr 21 11:31:19 GMT 2023","Fri Apr 21 11:31:24 GMT 2023","5398","test","test_conduit","TestConduit","","","test_new_data",""
"passed","Fri Apr 21 11:31:48 GMT 2023","Fri Apr 21 11:31:58 GMT 2023","9733","test","test_conduit","TestConduit","","","test_delete_data",""
